type_of_livestock,region,year,value
Sheep,Dundgovi,2013,922.34
Sheep,Dundgovi,2012,775.8
Sheep,Dundgovi,2011,623.49
Sheep,Dundgovi,2010,529.72
Sheep,Dundgovi,2009,973.78
Sheep,Dundgovi,2008,917.91
Sheep,Dundgovi,2007,944.3
Sheep,Dundgovi,2006,867.09
Sheep,Dundgovi,2005,819.66
Sheep,Dundgovi,2004,786.95
Sheep,Dundgovi,2003,724.01
Sheep,Dundgovi,2002,685.55
Sheep,Dundgovi,2001,684.95
Sheep,Dundgovi,2000,663.77
Sheep,Dundgovi,1999,966.52
Sheep,Dundgovi,1998,971.51
Sheep,Dundgovi,1997,901.42
Sheep,Dundgovi,1996,842.1
Sheep,Dundgovi,1995,810.85
Sheep,Dundgovi,1994,769.68
Sheep,Dundgovi,1993,785.75
Sheep,Dundgovi,1992,859.46
Sheep,Dundgovi,1991,841.86
Sheep,Dundgovi,1990,801.32
Sheep,Dundgovi,1989,744.73
Sheep,Dundgovi,1988,655.06
Sheep,Dundgovi,1987,662.47
Sheep,Dundgovi,1986,720.49
Sheep,Dundgovi,1985,711.61
Sheep,Dundgovi,1984,711.24
Sheep,Dundgovi,1983,778.74
Sheep,Dundgovi,1982,775.2
Sheep,Dundgovi,1981,730.36
Sheep,Dundgovi,1980,734.06
Sheep,Dundgovi,1979,782.05
Sheep,Dundgovi,1978,788.23
Sheep,Dundgovi,1977,726.22
Sheep,Dundgovi,1976,789.12
Sheep,Dundgovi,1975,756.02
Sheep,Dundgovi,1974,776.34
Sheep,Dundgovi,1973,732.16
Sheep,Dundgovi,1972,707.05
Sheep,Dundgovi,1971,635.53
Sheep,Dundgovi,1970,708.96
Sheep,Umnugovi,2025,623.79
Sheep,Umnugovi,2024,541.46
Sheep,Umnugovi,2023,547.3
Sheep,Umnugovi,2022,675.72
Sheep,Umnugovi,2021,626.71
Sheep,Umnugovi,2020,682.6
Sheep,Umnugovi,2019,718.22
Sheep,Umnugovi,2018,631.41
Sheep,Umnugovi,2017,613.98
Sheep,Umnugovi,2016,520.91
Sheep,Umnugovi,2015,447.01
Sheep,Umnugovi,2014,397.6
Sheep,Umnugovi,2013,350.81
Sheep,Umnugovi,2012,299.82
Sheep,Umnugovi,2011,257.44
Sheep,Umnugovi,2010,212.84
Sheep,Umnugovi,2009,375.71
Sheep,Umnugovi,2008,351.21
Sheep,Umnugovi,2007,296.53
Sheep,Umnugovi,2006,252.36
Sheep,Umnugovi,2005,246.38
Sheep,Umnugovi,2004,230.63
Sheep,Umnugovi,2003,202.82
Sheep,Umnugovi,2002,227.66
Sheep,Umnugovi,2001,312.39
Sheep,Umnugovi,2000,405.11
Sheep,Umnugovi,1999,443.98
Sheep,Umnugovi,1998,427.18
Sheep,Umnugovi,1997,404.54
Sheep,Umnugovi,1996,367.01
Sheep,Umnugovi,1995,341.1
Sheep,Umnugovi,1994,309.62
Sheep,Umnugovi,1993,278.83
Sheep,Umnugovi,1992,286.84
Sheep,Umnugovi,1991,296.53
Sheep,Umnugovi,1990,284.39
Sheep,Umnugovi,1989,294.73
Sheep,Umnugovi,1988,282.74
Sheep,Umnugovi,1987,274.54
Sheep,Umnugovi,1986,262.29
Sheep,Umnugovi,1985,266.83
Sheep,Umnugovi,1984,303.1
Sheep,Umnugovi,1983,280.14
Sheep,Umnugovi,1982,308.42
Sheep,Umnugovi,1981,305.88
Sheep,Umnugovi,1980,293.29
Sheep,Umnugovi,1979,332.46
Sheep,Umnugovi,1978,340.17
Sheep,Umnugovi,1977,328.1
Sheep,Umnugovi,1976,320.24
Sheep,Umnugovi,1975,307.24
Sheep,Umnugovi,1974,281.94
Sheep,Umnugovi,1973,255.54
Sheep,Umnugovi,1972,279.05
Sheep,Umnugovi,1971,276.28
Sheep,Umnugovi,1970,296.84
Sheep,Ulaanbaatar,2025,128.01
Sheep,Ulaanbaatar,2024,133.36
Sheep,Ulaanbaatar,2023,155.6
Sheep,Ulaanbaatar,2022,164.33
Sheep,Ulaanbaatar,2021,169.01
Sheep,Ulaanbaatar,2020,174.9
Sheep,Ulaanbaatar,2019,176.71
Sheep,Ulaanbaatar,2018,166.34
Sheep,Ulaanbaatar,2017,170.17
Sheep,Ulaanbaatar,2016,176.81
Sheep,Ulaanbaatar,2015,162.32
Sheep,Ulaanbaatar,2014,158.85
Sheep,Ulaanbaatar,2013,134.62
Sheep,Ulaanbaatar,2012,124.73
Sheep,Ulaanbaatar,2011,105.75
Sheep,Ulaanbaatar,2010,101.57
Sheep,Ulaanbaatar,2009,167.91
Sheep,Ulaanbaatar,2008,154.51
Sheep,Ulaanbaatar,2007,128.67
Sheep,Ulaanbaatar,2006,129.02
Sheep,Ulaanbaatar,2005,94.2
Sheep,Ulaanbaatar,2004,85.26
Sheep,Ulaanbaatar,2003,96.76
Sheep,Ulaanbaatar,2002,94.15
Sheep,Ulaanbaatar,2001,94.84
Sheep,Ulaanbaatar,2000,102.81
Sheep,Ulaanbaatar,1999,109.65
Sheep,Ulaanbaatar,1998,142.52
Sheep,Ulaanbaatar,1997,145.13
Sheep,Ulaanbaatar,1996,148.99
Sheep,Ulaanbaatar,1995,145.18
Sheep,Ulaanbaatar,1994,132.55
Sheep,Ulaanbaatar,1993,144.82
Sheep,Ulaanbaatar,1992,147.84
Sheep,Ulaanbaatar,1991,104.08
Sheep,Ulaanbaatar,1990,65.78
Sheep,Ulaanbaatar,1989,50.85
Sheep,Ulaanbaatar,1988,40.24
Sheep,Ulaanbaatar,1987,36.65
Sheep,Ulaanbaatar,1986,30.53
Sheep,Ulaanbaatar,1985,30.53
Sheep,Ulaanbaatar,1984,28.0
Sheep,Ulaanbaatar,1983,26.29
Sheep,Ulaanbaatar,1982,18.33
Sheep,Ulaanbaatar,1981,15.95
Sheep,Ulaanbaatar,1980,14.65
Sheep,Ulaanbaatar,1979,4.7
Sheep,Ulaanbaatar,1978,14.9
Sheep,Ulaanbaatar,1977,20.3
Sheep,Ulaanbaatar,1976,20.7
Sheep,Ulaanbaatar,1975,19.0
Sheep,Ulaanbaatar,1974,15.5
Sheep,Ulaanbaatar,1973,13.7
Sheep,Ulaanbaatar,1972,11.4
Sheep,Ulaanbaatar,1971,7.49
Sheep,Ulaanbaatar,1970,4.21
Goat,Total,2025,23170.31
Goat,Total,2024,22920.18
Goat,Total,2023,24618.23
Goat,Total,2022,27569.4
Goat,Total,2021,26456.09
Goat,Total,2020,27720.25
Goat,Total,2019,29261.66
Goat,Total,2018,27124.7
Goat,Total,2017,27346.71
Goat,Total,2016,25574.86
Goat,Total,2015,23592.92
Goat,Total,2014,22008.9
Goat,Total,2013,19227.58
Goat,Total,2012,17558.67
Goat,Total,2011,15934.58
Goat,Total,2010,13883.24
Goat,Total,2009,19651.54
Goat,Total,2008,19969.4
Goat,Total,2007,18347.85
Goat,Total,2006,15451.7
Goat,Total,2005,13267.39
Goat,Total,2004,12238.04
Goat,Total,2003,10652.97
Goat,Total,2002,9134.78
Goat,Total,2001,9591.34
Goat,Total,2000,10269.84
Goat,Total,1999,11033.9
Goat,Total,1998,11061.88
Goat,Total,1997,10265.32
Goat,Total,1996,9134.88
Goat,Total,1995,8520.75
Goat,Total,1994,7234.63
Goat,Total,1993,6036.14
Goat,Total,1992,5602.53
Goat,Total,1991,5249.59
Goat,Total,1990,5125.75
Goat,Total,1989,4959.15
Goat,Total,1988,4474.32
Goat,Total,1987,4387.68
Goat,Total,1986,4384.36
Goat,Total,1985,4298.6
Goat,Total,1984,4298.0
Goat,Total,1983,4548.52
Goat,Total,1982,4801.79
Goat,Total,1981,4595.39
Goat,Total,1980,4566.75
Goat,Total,1979,4739.2
Goat,Total,1978,4704.67
Goat,Total,1977,4410.31
Goat,Total,1976,4547.08
Goat,Total,1975,4594.58
Goat,Total,1974,4574.36
Goat,Total,1973,4442.2
Goat,Total,1972,4338.41
Goat,Total,1971,4194.78
Goat,Total,1970,4206.98
Goat,Khangai region,2025,5589.32
Goat,Khangai region,2024,5414.3
Goat,Khangai region,2023,5381.3
Goat,Khangai region,2022,5417.75
Goat,Khangai region,2021,4775.78
Goat,Khangai region,2020,5514.12
Goat,Khangai region,2019,6786.72
Goat,Khangai region,2018,6224.02
Goat,Khangai region,2017,6556.42
Goat,Khangai region,2016,6191.95
Goat,Khangai region,2015,5553.34
Goat,Khangai region,2014,5232.4
Goat,Khangai region,2013,4566.62
Goat,Khangai region,2012,3999.09
Goat,Khangai region,2011,3487.47
Goat,Khangai region,2010,2975.25
Goat,Khangai region,2009,4497.5
Goat,Khangai region,2008,4430.55
Goat,Khangai region,2007,3850.81
Goat,Khangai region,2006,3151.61
Goat,Khangai region,2005,2663.35
Goat,Khangai region,2004,2373.71
Goat,Khangai region,2003,2022.42
Goat,Khangai region,2002,1594.81
Goat,Khangai region,2001,2015.54
Goat,Khangai region,2000,2463.52
Goat,Khangai region,1999,2680.9
Goat,Khangai region,1998,2709.53
Goat,Khangai region,1997,2487.01
Goat,Khangai region,1996,2162.48
Goat,Khangai region,1995,2076.25
Goat,Khangai region,1994,1774.78
Goat,Khangai region,1993,1465.24
Goat,Khangai region,1992,1326.38
Goat,Khangai region,1991,1226.13
Goat,Khangai region,1990,1152.8
Goat,Khangai region,1989,1079.44
Goat,Khangai region,1988,932.99
Goat,Khangai region,1987,938.27
Goat,Khangai region,1986,928.28
Goat,Khangai region,1985,886.96
Goat,Khangai region,1984,933.37
Goat,Khangai region,1983,1072.38
Goat,Khangai region,1982,1150.15
Goat,Khangai region,1981,1081.48
Goat,Khangai region,1980,1064.0
Goat,Khangai region,1979,1055.5
Goat,Khangai region,1978,1075.95
Goat,Khangai region,1977,1015.38
Goat,Khangai region,1976,1016.61
Goat,Khangai region,1975,1012.44
Goat,Khangai region,1974,1009.29
Goat,Khangai region,1973,983.59
Goat,Khangai region,1972,977.45
Goat,Khangai region,1971,912.99
Goat,Khangai region,1970,915.19
Goat,Arkhangai,2025,1274.31
Goat,Arkhangai,2024,1164.96
Goat,Arkhangai,2023,1264.47
Goat,Arkhangai,2022,1526.89
Goat,Arkhangai,2021,1486.96
Goat,Arkhangai,2020,1489.31
Goat,Arkhangai,2019,1708.41
Goat,Arkhangai,2018,1499.31
Goat,Arkhangai,2017,1435.4
Goat,Arkhangai,2016,1402.28
Goat,Arkhangai,2015,1270.59
Goat,Arkhangai,2014,1256.01
Goat,Arkhangai,2013,1131.78
Goat,Arkhangai,2012,1045.65
Goat,Arkhangai,2011,964.16
Goat,Arkhangai,2010,852.75
Goat,Arkhangai,2009,1195.07
Goat,Arkhangai,2008,1175.02
Goat,Arkhangai,2007,1017.6
Goat,Arkhangai,2006,880.75
Goat,Arkhangai,2005,755.06
Goat,Arkhangai,2004,663.59
Goat,Arkhangai,2003,606.7
Goat,Arkhangai,2002,527.06
Goat,Arkhangai,2001,509.85
Goat,Arkhangai,2000,542.88
Goat,Arkhangai,1999,551.19
Goat,Arkhangai,1998,504.61
Goat,Arkhangai,1997,433.94
Goat,Arkhangai,1996,357.41
Goat,Arkhangai,1995,307.94
Goat,Arkhangai,1994,283.23
Goat,Arkhangai,1993,234.96
Goat,Arkhangai,1992,212.65
Goat,Arkhangai,1991,197.33
Goat,Arkhangai,1990,190.67
Goat,Arkhangai,1989,174.65
Goat,Arkhangai,1988,154.55
Goat,Arkhangai,1987,141.59
Goat,Arkhangai,1986,136.73
Goat,Arkhangai,1985,136.29
Goat,Arkhangai,1984,156.84
Goat,Arkhangai,1983,164.05
Goat,Arkhangai,1982,186.44
Goat,Arkhangai,1981,176.05
Goat,Arkhangai,1980,171.21
Goat,Arkhangai,1979,165.06
Goat,Arkhangai,1978,161.82
Goat,Arkhangai,1977,148.26
Goat,Arkhangai,1976,163.15
Goat,Arkhangai,1975,171.08
Goat,Arkhangai,1974,176.47
Goat,Arkhangai,1973,172.81
Goat,Arkhangai,1972,173.99
Goat,Arkhangai,1971,169.21
Goat,Arkhangai,1970,165.62
Goat,Bayankhongor,2025,2493.94
Goat,Bayankhongor,2024,2390.97
Goat,Bayankhongor,2023,2389.33
Goat,Bayankhongor,2022,2182.7
Goat,Bayankhongor,2021,1795.32
Goat,Bayankhongor,2020,2219.2
Goat,Bayankhongor,2019,2733.7
Goat,Bayankhongor,2018,2478.9
Goat,Bayankhongor,2017,2731.79
Goat,Bayankhongor,2016,2569.12
Goat,Bayankhongor,2015,2314.45
Goat,Bayankhongor,2014,2138.1
Goat,Bayankhongor,2013,1860.65
Goat,Bayankhongor,2012,1596.28
Goat,Bayankhongor,2011,1396.95
Goat,Bayankhongor,2010,1213.3
Goat,Bayankhongor,2009,1713.34
Goat,Bayankhongor,2008,1696.85
Goat,Bayankhongor,2007,1427.08
Goat,Bayankhongor,2006,1136.43
Goat,Bayankhongor,2005,916.05
Goat,Bayankhongor,2004,764.16
Goat,Bayankhongor,2003,599.32
Goat,Bayankhongor,2002,412.06
Goat,Bayankhongor,2001,802.66
Goat,Bayankhongor,2000,1189.99
Goat,Bayankhongor,1999,1199.34
Goat,Bayankhongor,1998,1252.31
Goat,Bayankhongor,1997,1191.38
Goat,Bayankhongor,1996,1053.55
Goat,Bayankhongor,1995,1031.85
Goat,Bayankhongor,1994,878.98
Goat,Bayankhongor,1993,712.92
Goat,Bayankhongor,1992,658.58
Goat,Bayankhongor,1991,600.27
Goat,Bayankhongor,1990,548.6
Goat,Bayankhongor,1989,507.28
Goat,Bayankhongor,1988,433.73
Goat,Bayankhongor,1987,466.07
Goat,Bayankhongor,1986,460.32
Goat,Bayankhongor,1985,452.6
Goat,Bayankhongor,1984,458.9
Goat,Bayankhongor,1983,579.74
Goat,Bayankhongor,1982,599.49
Goat,Bayankhongor,1981,570.05
Goat,Bayankhongor,1980,553.35
Goat,Bayankhongor,1979,530.66
Goat,Bayankhongor,1978,550.37
Goat,Bayankhongor,1977,532.19
Goat,Bayankhongor,1976,515.55
Goat,Bayankhongor,1975,510.89
Goat,Bayankhongor,1974,510.91
Goat,Bayankhongor,1973,503.41
Goat,Bayankhongor,1972,503.82
Goat,Bayankhongor,1971,463.59
Goat,Bayankhongor,1970,464.61
Goat,Uvurkhangai,2025,1821.08
Goat,Uvurkhangai,2024,1858.38
Goat,Uvurkhangai,2023,1727.5
Goat,Uvurkhangai,2022,1708.16
Goat,Uvurkhangai,2021,1493.5
Goat,Uvurkhangai,2020,1805.61
Goat,Uvurkhangai,2019,2344.61
Goat,Uvurkhangai,2018,2245.81
Goat,Uvurkhangai,2017,2389.22
Goat,Uvurkhangai,2016,2220.54
Goat,Uvurkhangai,2015,1968.3
Goat,Uvurkhangai,2014,1838.29
Goat,Uvurkhangai,2013,1574.19
Goat,Uvurkhangai,2012,1357.16
Goat,Uvurkhangai,2011,1126.36
Goat,Uvurkhangai,2010,909.2
Goat,Uvurkhangai,2009,1589.09
Goat,Uvurkhangai,2008,1558.68
Goat,Uvurkhangai,2007,1406.13
Goat,Uvurkhangai,2006,1134.43
Goat,Uvurkhangai,2005,992.24
Goat,Uvurkhangai,2004,945.96
Goat,Uvurkhangai,2003,816.4
Goat,Uvurkhangai,2002,655.69
Goat,Uvurkhangai,2001,703.03
Goat,Uvurkhangai,2000,730.65
Goat,Uvurkhangai,1999,930.37
Goat,Uvurkhangai,1998,952.61
Goat,Uvurkhangai,1997,861.69
Goat,Uvurkhangai,1996,751.52
Goat,Uvurkhangai,1995,736.46
Goat,Uvurkhangai,1994,612.57
Goat,Uvurkhangai,1993,517.36
Goat,Uvurkhangai,1992,455.15
Goat,Uvurkhangai,1991,428.53
Goat,Uvurkhangai,1990,413.53
Goat,Uvurkhangai,1989,397.51
Goat,Uvurkhangai,1988,344.71
Goat,Uvurkhangai,1987,330.61
Goat,Uvurkhangai,1986,331.23
Goat,Uvurkhangai,1985,298.07
Goat,Uvurkhangai,1984,317.63
Goat,Uvurkhangai,1983,328.59
Goat,Uvurkhangai,1982,364.22
Goat,Uvurkhangai,1981,335.38
Goat,Uvurkhangai,1980,339.44
Goat,Uvurkhangai,1979,359.78
Goat,Uvurkhangai,1978,363.76
Goat,Uvurkhangai,1977,334.93
Goat,Uvurkhangai,1976,337.91
Goat,Uvurkhangai,1975,330.47
Goat,Uvurkhangai,1974,321.91
Goat,Uvurkhangai,1973,307.37
Goat,Uvurkhangai,1972,299.64
Goat,Uvurkhangai,1971,280.19
Goat,Uvurkhangai,1970,284.96
Goat,Western region,2025,6462.91
Goat,Western region,2024,6901.67
Goat,Western region,2023,6641.18
Goat,Western region,2022,7440.55
Goat,Western region,2021,7715.2
Goat,Western region,2020,7716.26
Goat,Western region,2019,7575.66
Goat,Western region,2018,7319.93
Goat,Western region,2017,7702.37
Goat,Western region,2016,7272.68
Goat,Western region,2015,6654.35
Goat,Western region,2014,6064.62
Goat,Western region,2013,5293.51
Goat,Western region,2012,4768.74
Goat,Western region,2011,4340.96
Goat,Western region,2010,3643.88
Goat,Western region,2009,5340.54
Goat,Western region,2008,6145.44
Goat,Western region,2007,6190.8
Goat,Western region,2006,5421.41
Goat,Western region,2005,4525.8
Goat,Western region,2004,4222.92
Goat,Western region,2003,3574.22
Goat,Western region,2002,2881.87
Goat,Western region,2001,3215.88
Goat,Western region,2000,3426.17
Goat,Western region,1999,3644.91
Goat,Western region,1998,3665.78
Goat,Western region,1997,3619.54
Goat,Western region,1996,3386.52
Goat,Western region,1995,3264.36
Goat,Western region,1994,2781.97
Goat,Western region,1993,2288.77
Goat,Western region,1992,2060.45
Goat,Western region,1991,1951.32
Goat,Western region,1990,1977.93
Goat,Western region,1989,1922.23
Goat,Western region,1988,1821.67
Goat,Western region,1987,1788.43
Goat,Western region,1986,1750.0
Goat,Western region,1985,1708.2
Goat,Western region,1984,1577.7
Goat,Western region,1983,1688.95
Goat,Western region,1982,1753.96
Goat,Western region,1981,1704.31
Goat,Western region,1980,1746.77
Goat,Western region,1979,1768.21
Goat,Western region,1978,1746.51
Goat,Western region,1977,1670.57
Goat,Western region,1976,1757.71
Goat,Western region,1975,1761.84
Goat,Western region,1974,1783.94
Goat,Western region,1973,1812.63
Goat,Western region,1972,1724.64
Goat,Western region,1971,1735.46
Goat,Western region,1970,1676.47
Goat,Bayan-Ulgii,2025,800.54
Goat,Bayan-Ulgii,2024,903.73
Goat,Bayan-Ulgii,2023,871.77
Goat,Bayan-Ulgii,2022,967.39
Goat,Bayan-Ulgii,2021,1063.81
Goat,Bayan-Ulgii,2020,1022.6
Goat,Bayan-Ulgii,2019,933.35
Goat,Bayan-Ulgii,2018,930.4
Goat,Bayan-Ulgii,2017,971.22
Goat,Bayan-Ulgii,2016,983.31
Goat,Bayan-Ulgii,2015,943.66
Goat,Bayan-Ulgii,2014,882.07
Goat,Bayan-Ulgii,2013,773.39
Goat,Bayan-Ulgii,2012,693.14
Goat,Bayan-Ulgii,2011,662.54
Goat,Bayan-Ulgii,2010,553.76
Goat,Bayan-Ulgii,2009,651.6
Goat,Bayan-Ulgii,2008,778.7
Goat,Bayan-Ulgii,2007,791.56
Goat,Bayan-Ulgii,2006,712.35
Goat,Bayan-Ulgii,2005,620.59
Goat,Bayan-Ulgii,2004,640.79
Goat,Bayan-Ulgii,2003,614.25
Goat,Bayan-Ulgii,2002,542.83
Goat,Bayan-Ulgii,2001,546.86
Goat,Bayan-Ulgii,2000,521.25
Goat,Bayan-Ulgii,1999,516.32
Goat,Bayan-Ulgii,1998,492.21
Goat,Bayan-Ulgii,1997,543.64
Goat,Bayan-Ulgii,1996,483.27
Goat,Bayan-Ulgii,1995,451.42
Goat,Bayan-Ulgii,1994,366.43
Goat,Bayan-Ulgii,1993,294.62
Goat,Bayan-Ulgii,1992,268.5
Goat,Bayan-Ulgii,1991,277.05
Goat,Bayan-Ulgii,1990,309.86
Goat,Bayan-Ulgii,1989,308.3
Goat,Bayan-Ulgii,1988,292.65
Goat,Bayan-Ulgii,1987,305.04
Goat,Bayan-Ulgii,1986,308.35
Goat,Bayan-Ulgii,1985,304.69
Goat,Bayan-Ulgii,1984,296.45
Goat,Bayan-Ulgii,1983,296.57
Goat,Bayan-Ulgii,1982,302.51
Goat,Bayan-Ulgii,1981,291.87
Goat,Bayan-Ulgii,1980,296.27
Goat,Bayan-Ulgii,1979,297.84
Goat,Bayan-Ulgii,1978,285.1
Goat,Bayan-Ulgii,1977,286.32
Goat,Bayan-Ulgii,1976,308.77
Goat,Bayan-Ulgii,1975,298.49
Goat,Bayan-Ulgii,1974,308.25
Goat,Bayan-Ulgii,1973,317.55
Goat,Bayan-Ulgii,1972,289.96
Goat,Bayan-Ulgii,1971,290.8
Goat,Bayan-Ulgii,1970,279.51
Goat,Govi-Altai,2025,1863.01
Goat,Govi-Altai,2024,1919.12
Goat,Govi-Altai,2023,1884.31
Goat,Govi-Altai,2022,1987.28
Goat,Govi-Altai,2021,1875.76
Goat,Govi-Altai,2020,2123.21
Goat,Govi-Altai,2019,2269.62
Goat,Govi-Altai,2018,2196.8
Goat,Govi-Altai,2017,2356.01
Goat,Govi-Altai,2016,2173.94
Goat,Govi-Altai,2015,1831.33
Goat,Govi-Altai,2014,1621.02
Goat,Govi-Altai,2013,1409.05
Goat,Govi-Altai,2012,1220.26
Goat,Govi-Altai,2011,1057.81
Goat,Govi-Altai,2010,837.8
Goat,Govi-Altai,2009,1348.52
Goat,Govi-Altai,2008,1594.01
Goat,Govi-Altai,2007,1570.22
Goat,Govi-Altai,2006,1370.07
Goat,Govi-Altai,2005,1136.54
Goat,Govi-Altai,2004,960.55
Goat,Govi-Altai,2003,775.08
Goat,Govi-Altai,2002,579.0
Goat,Govi-Altai,2001,878.78
Goat,Govi-Altai,2000,1003.75
Goat,Govi-Altai,1999,1029.05
Goat,Govi-Altai,1998,1029.04
Goat,Govi-Altai,1997,992.54
Goat,Govi-Altai,1996,935.49
Goat,Govi-Altai,1995,904.59
Goat,Govi-Altai,1994,785.63
Goat,Govi-Altai,1993,633.17
Goat,Govi-Altai,1992,580.09
Goat,Govi-Altai,1991,527.69
Goat,Govi-Altai,1990,501.9
Goat,Govi-Altai,1989,495.63
Goat,Govi-Altai,1988,454.1
Goat,Govi-Altai,1987,449.52
Goat,Govi-Altai,1986,427.44
Goat,Govi-Altai,1985,420.06
Goat,Govi-Altai,1984,374.79
Goat,Govi-Altai,1983,426.46
Goat,Govi-Altai,1982,433.14
Goat,Govi-Altai,1981,433.0
Goat,Govi-Altai,1980,442.94
Goat,Govi-Altai,1979,450.22
Goat,Govi-Altai,1978,462.57
Goat,Govi-Altai,1977,454.3
Goat,Govi-Altai,1976,446.8
Goat,Govi-Altai,1975,443.48
Goat,Govi-Altai,1974,429.61
Goat,Govi-Altai,1973,435.25
Goat,Govi-Altai,1972,423.31
Goat,Govi-Altai,1971,436.16
Goat,Govi-Altai,1970,417.88
Goat,Zavkhan,2025,1102.72
Goat,Zavkhan,2024,1089.38
Goat,Zavkhan,2023,1050.16
Goat,Zavkhan,2022,1286.7
Goat,Zavkhan,2021,1329.46
Goat,Zavkhan,2020,1338.22
Goat,Zavkhan,2019,1418.57
Goat,Zavkhan,2018,1292.67
Goat,Zavkhan,2017,1352.45
Goat,Zavkhan,2016,1310.54
Goat,Zavkhan,2015,1241.67
Goat,Zavkhan,2014,1138.61
Goat,Zavkhan,2013,1007.3
Goat,Zavkhan,2012,910.66
Goat,Zavkhan,2011,831.63
Goat,Zavkhan,2010,685.7
Goat,Zavkhan,2009,1097.58
Goat,Zavkhan,2008,1295.57
Goat,Zavkhan,2007,1253.65
Goat,Zavkhan,2006,1052.26
Goat,Zavkhan,2005,861.17
Goat,Zavkhan,2004,799.89
Goat,Zavkhan,2003,666.4
Goat,Zavkhan,2002,544.62
Goat,Zavkhan,2001,530.26
Goat,Zavkhan,2000,585.0
Goat,Zavkhan,1999,693.64
Goat,Zavkhan,1998,751.91
Goat,Zavkhan,1997,709.54
Goat,Zavkhan,1996,666.9
Goat,Zavkhan,1995,612.91
Goat,Zavkhan,1994,514.83
Goat,Zavkhan,1993,402.8
Goat,Zavkhan,1992,371.08
Goat,Zavkhan,1991,352.61
Goat,Zavkhan,1990,363.01
Goat,Zavkhan,1989,339.21
Goat,Zavkhan,1988,308.17
Goat,Zavkhan,1987,296.41
Goat,Zavkhan,1986,287.25
Goat,Zavkhan,1985,274.39
Goat,Zavkhan,1984,269.59
Goat,Zavkhan,1983,284.39
Goat,Zavkhan,1982,289.42
Goat,Zavkhan,1981,269.87
Goat,Zavkhan,1980,292.9
Goat,Zavkhan,1979,305.46
Goat,Zavkhan,1978,309.01
Goat,Zavkhan,1977,278.48
Goat,Zavkhan,1976,311.31
Goat,Zavkhan,1975,304.41
Goat,Zavkhan,1974,296.12
Goat,Zavkhan,1973,295.17
Goat,Zavkhan,1972,296.76
Goat,Zavkhan,1971,291.31
Goat,Zavkhan,1970,276.33
Goat,Uvs,2025,1058.87
Goat,Uvs,2024,1171.98
Goat,Uvs,2023,1157.01
Goat,Uvs,2022,1353.28
Goat,Uvs,2021,1498.92
Goat,Uvs,2020,1410.25
Goat,Uvs,2019,1322.81
Goat,Uvs,2018,1275.46
Goat,Uvs,2017,1257.92
Goat,Uvs,2016,1119.03
Goat,Uvs,2015,1116.7
Goat,Uvs,2014,1047.43
Goat,Uvs,2013,926.41
Goat,Uvs,2012,859.32
Goat,Uvs,2011,805.29
Goat,Uvs,2010,683.77
Goat,Uvs,2009,979.25
Goat,Uvs,2008,1070.87
Goat,Uvs,2007,1143.78
Goat,Uvs,2006,1019.75
Goat,Uvs,2005,835.7
Goat,Uvs,2004,835.34
Goat,Uvs,2003,697.14
Goat,Uvs,2002,556.79
Goat,Uvs,2001,570.85
Goat,Uvs,2000,521.88
Goat,Uvs,1999,609.96
Goat,Uvs,1998,621.73
Goat,Uvs,1997,568.79
Goat,Uvs,1996,512.03
Goat,Uvs,1995,480.76
Goat,Uvs,1994,414.67
Goat,Uvs,1993,352.97
Goat,Uvs,1992,311.59
Goat,Uvs,1991,298.11
Goat,Uvs,1990,306.98
Goat,Uvs,1989,303.76
Goat,Uvs,1988,294.93
Goat,Uvs,1987,283.84
Goat,Uvs,1986,280.74
Goat,Uvs,1985,270.68
Goat,Uvs,1984,255.27
Goat,Uvs,1983,252.2
Goat,Uvs,1982,271.06
Goat,Uvs,1981,258.11
Goat,Uvs,1980,281.04
Goat,Uvs,1979,273.29
Goat,Uvs,1978,259.0
Goat,Uvs,1977,250.72
Goat,Uvs,1976,249.53
Goat,Uvs,1975,283.72
Goat,Uvs,1974,294.32
Goat,Uvs,1973,289.76
Goat,Uvs,1972,272.89
Goat,Uvs,1971,279.38
Goat,Uvs,1970,284.26
Goat,Khovd,2025,1637.78
Goat,Khovd,2024,1817.46
Goat,Khovd,2023,1677.93
Goat,Khovd,2022,1845.9
Goat,Khovd,2021,1947.26
Goat,Khovd,2020,1821.98
Goat,Khovd,2019,1631.32
Goat,Khovd,2018,1624.6
Goat,Khovd,2017,1764.77
Goat,Khovd,2016,1685.86
Goat,Khovd,2015,1520.99
Goat,Khovd,2014,1375.48
Goat,Khovd,2013,1177.36
Goat,Khovd,2012,1085.37
Goat,Khovd,2011,983.69
Goat,Khovd,2010,882.85
Goat,Khovd,2009,1263.59
Goat,Khovd,2008,1406.29
Goat,Khovd,2007,1431.59
Goat,Khovd,2006,1266.98
Goat,Khovd,2005,1071.8
Goat,Khovd,2004,986.35
Goat,Khovd,2003,821.35
Goat,Khovd,2002,658.63
Goat,Khovd,2001,689.13
Goat,Khovd,2000,794.29
Goat,Khovd,1999,795.94
Goat,Khovd,1998,770.89
Goat,Khovd,1997,805.03
Goat,Khovd,1996,788.83
Goat,Khovd,1995,814.68
Goat,Khovd,1994,700.41
Goat,Khovd,1993,605.21
Goat,Khovd,1992,529.19
Goat,Khovd,1991,495.86
Goat,Khovd,1990,496.18
